Associated Dates,Spend,Revenue,Visits,Impressions,Clicks,Conversions,Pageviews,Unique Visitors,UPO,Campaign Category,Ad Group,Ad Name,Last Touch Channel,Size,Color,Device,Subchannel,Campaign Name,Retail Tier,Retail Campaign Type,Video Spend,Video Impressions,Link Clicks,Engagements,Video Views,Video Completions
8/19/2020,2034.138208,4800.02,678,0,538,361.5802749,1841,550,2.8,General,Women's Clothing,Men's Jacket,Display,XXL,Red,Tablet,display-prospecting,,,,0,0,0,0,0,0
8/20/2020,208.3879612,666.05,1598,0,491,0,6286,1290,1.6,General,Outerwear,Men's Jacket,Other,XXL,Blue,Mobile,other,,,,0,0,0,0,0,0
8/20/2020,745.2301889,1792.12,653,49192,753,322.2679107,1577,632,2.8,General,Men's Clothing,Men's Jacket,Video,XXL,Black,Mobile,video-prospecting,,,,1,1,1,626,1,1
8/20/2020,1,2.43,1697,48049,509,78.99169104,4447,1420,1.7,General,Women's Clothing,Women's Boots,Social Media,S,Yellow,Mobile,paidsocial-prospecting,,,,0,0,0,0,0,0
8/20/2020,1,3.33,2025,22582,697,0,6362,1631,1.5,General,Men's Clothing,Men's Jacket,Other,L,White,Tablet,other,,,,0,0,0,0,0,0
8/20/2020,1,2.91,641,0,1,0,1607,547,2.3,General,Men's Clothing,Hooded Sweatshirt,Video,XL,Yellow,Tablet,video-branding,,,,1,1,1,1,270,1
8/20/2020,654.674923,1237.88,743,0,248,0,2365,659,2.3,General,Accessories,Beanie Hat,Paid Search,L,Red,Tablet,paidsearch-retail,,,,0,0,0,0,0,0
8/20/2020,533.4462645,1040.62,1863,0,1,278.3327728,9790,1711,1.3,General,Women's Clothing,Hooded Sweatshirt,Paid Search,M,Blue,Mobile,paidsearch-retailpmax,,,,0,0,0,0,0,0
8/20/2020,844.9709937,2043.29,2328,0,1,0,8704,2191,2.2,General,Women's Clothing,Men's Jacket,Paid Search,M,Yellow,Desktop,paidsearch-retailpmax,,,,0,0,0,0,0,0
8/20/2020,175.5573885,442.86,2187,6764,1050,268.9863731,4480,2144,2.7,General,Men's Clothing,Workwear Pants,Email,S,Blue,Mobile,affiliates,,,,0,0,0,0,0,0
8/20/2020,682.9516064,1438.36,1539,0,535,83.62282176,5029,1454,1.8,General,Accessories,Denim Jeans,Display,S,Blue,Desktop,display-retargeting,,,,0,0,0,0,0,0
8/20/2020,1,3.23,537,0,1,230.6954127,2868,512,2.5,General,Women's Clothing,Men's Jacket,Email,XXL,Red,Mobile,affiliates,,,,0,0,0,0,0,0
8/20/2020,301.5803815,549.61,2141,42728,1,282.5484007,10391,1901,2,General,Outerwear,Women's Boots,Other,M,Blue,Tablet,other,,,,0,0,0,0,0,0
8/20/2020,343.8685329,762.93,1120,0,584,0,4661,927,2.1,General,Accessories,Hooded Sweatshirt,Paid Search,XL,White,Tablet,paidsearch-nonbrand,,,,0,0,0,0,0,0
8/20/2020,1,2.92,936,0,1,280.8627143,2155,847,3,General,Women's Clothing,Denim Jeans,Video,L,Black,Tablet,video-prospecting,,,,1,1,1,1,1,407
8/20/2020,482.2537681,974.17,1202,0,632,0,3353,1179,2.5,General,Outerwear,Denim Jeans,Video,L,Green,Tablet,video-branding,,,,435.4985042,34563,1,821,1,1
8/20/2020,1985.483194,4477.82,885,59408,1,0,3775,852,2.3,General,Men's Clothing,Denim Jeans,Paid Search,M,White,Tablet,paidsearch-brand,,,,0,0,0,0,0,0
8/21/2020,317.2145276,955.29,824,0,411,141.921079,3753,677,2.2,General,Accessories,Beanie Hat,Social Media,L,Red,Tablet,paidsocial-prospecting,,,,0,0,0,0,0,0
8/21/2020,2214.515193,6350.99,2028,0,1,0,12100,1703,1.1,General,Outerwear,Women's Boots,Video,L,Black,Tablet,video-prospecting,,,,1,1,578,268,906,97
8/21/2020,942.7558772,2073.38,863,8017,1,528.434574,1839,823,1.9,General,Accessories,Workwear Pants,Other,XXL,Red,Mobile,other,,,,0,0,0,0,0,0
8/21/2020,1114.247535,2613.59,2245,0,1,0,5399,2075,2.2,General,Accessories,Beanie Hat,Display,XXL,Red,Mobile,display-prospecting,,,,0,0,0,0,0,0
8/21/2020,320.2382421,782.79,1272,0,2109,125.8815383,3565,1043,3,General,Outerwear,Women's Boots,Video,S,Green,Mobile,video-branding,,,,836.0755751,20318,1002,31,718,1251
8/21/2020,1,2.89,2057,0,1,0,11289,1762,1,General,Men's Clothing,Hooded Sweatshirt,Social Media,XXL,Green,Mobile,paidsocial-branding,,,,0,0,0,0,0,0
8/21/2020,306.5663336,1045.68,1126,2779,516,51.28566296,4342,978,2.7,General,Men's Clothing,Denim Jeans,Display,S,Red,Mobile,display-prospecting,,,,0,0,0,0,0,0
8/21/2020,1,2.89,1099,26721,945,0,5689,920,2.2,General,Accessories,Hooded Sweatshirt,Video,XXL,White,Desktop,video-prospecting,,,,707.242717,63598,1,384,1,975
8/21/2020,1,2.55,501,0,10,11.07273985,1042,420,2.9,General,Men's Clothing,Women's Boots,Email,L,Green,Tablet,affiliates,,,,0,0,0,0,0,0
8/21/2020,1,3.09,2173,0,37,0,7337,2056,1.2,General,Women's Clothing,Women's Boots,Video,XL,Black,Tablet,video-branding,,,,1,40151,1,1,551,660
8/21/2020,1,2.55,1520,0,1,0,8646,1453,2,General,Accessories,Hooded Sweatshirt,Video,XXL,Green,Desktop,video-branding,,,,115.3132817,1,210,58,1,946
8/21/2020,1,1.8,632,0,630,339.3247429,1643,579,1.9,General,Accessories,Women's Boots,Display,XL,Red,Desktop,display-prospecting,,,,0,0,0,0,0,0
8/22/2020,187.4064857,434.65,1049,68782,1,50.43427154,4981,884,2.9,General,Women's Clothing,Workwear Pants,Video,XXL,Green,Desktop,video-branding,,,,509.0063738,21899,1,1,609,2189
8/22/2020,1400.22321,3194.15,2059,0,1,82.60710485,9538,1940,2.5,General,Women's Clothing,Denim Jeans,Email,XXL,White,Desktop,affiliates,,,,0,0,0,0,0,0
8/22/2020,763.5408936,1695.15,1758,0,503,448.7905025,4880,1661,2.9,General,Outerwear,Workwear Pants,Video,M,White,Desktop,video-prospecting,,,,1,13774,1,197,1,189
8/22/2020,470.8124594,1291.45,2163,19928,838,0,10655,2064,1.8,General,Women's Clothing,Workwear Pants,Display,S,Blue,Desktop,display-retargeting,,,,0,0,0,0,0,0
8/22/2020,66.78201819,134.4,2434,58830,1,457.305905,8030,2079,1.3,General,Men's Clothing,Men's Jacket,Social Media,L,White,Desktop,paidsocial-prospecting,,,,0,0,0,0,0,0
8/22/2020,1,2.73,2203,7237,1,0,11082,1925,1.1,General,Outerwear,Hooded Sweatshirt,Social Media,L,Green,Desktop,paidsocial-branding,,,,0,0,0,0,0,0
8/22/2020,387.1615375,768.49,1125,84809,1103,214.0691966,5365,911,2,General,Outerwear,Denim Jeans,Video,XXL,White,Tablet,video-prospecting,,,,1,26829,727,1,1,570
8/22/2020,1,2.74,2363,0,255,306.6298874,9404,1937,2.2,General,Outerwear,Hooded Sweatshirt,Other,S,White,Mobile,other,,,,0,0,0,0,0,0
8/22/2020,1,3.29,908,0,1165,0,4715,874,2.8,General,Women's Clothing,Men's Jacket,Video,L,Yellow,Tablet,video-branding,,,,437.3071073,1,1,222,1,1022
8/22/2020,1,1.92,1375,70009,42,0,3424,1261,2.2,General,Women's Clothing,Men's Jacket,Display,M,Blue,Mobile,display-retargeting,,,,0,0,0,0,0,0
8/22/2020,1,2.91,2167,60186,1,281.9166835,10653,2126,1.2,General,Women's Clothing,Women's Boots,Video,XXL,Yellow,Desktop,video-branding,,,,238.9984875,1,261,1,216,909
8/22/2020,1,1.62,685,57030,121,17.44779235,4010,676,2,General,Outerwear,Beanie Hat,Other,XL,Yellow,Desktop,other,,,,0,0,0,0,0,0
8/22/2020,1,3.18,1320,0,282,0,3683,1140,1.8,General,Outerwear,Workwear Pants,Paid Search,XL,Red,Tablet,paidsearch-brand,,,,0,0,0,0,0,0
8/22/2020,585.2635085,1980.49,588,47487,1,0,1400,581,1.8,General,Outerwear,Men's Jacket,Display,S,Yellow,Tablet,display-retargeting,,,,0,0,0,0,0,0
8/22/2020,669.1028763,2073.25,1874,9499,1,259.2255528,8520,1820,3,General,Outerwear,Women's Boots,Display,M,White,Mobile,display-retargeting,,,,0,0,0,0,0,0
8/22/2020,1,1.59,2150,0,26,448.0415585,10210,1747,1.1,General,Men's Clothing,Denim Jeans,Other,XL,Red,Mobile,other,,,,0,0,0,0,0,0
8/22/2020,182.1169002,375.26,802,21331,1,123.474223,1644,671,2.2,General,Men's Clothing,Men's Jacket,Paid Search,S,Yellow,Mobile,paidsearch-local,,,,0,0,0,0,0,0
8/22/2020,1,2.06,1393,1564,411,152.4096613,7349,1350,1.6,General,Outerwear,Workwear Pants,Paid Search,S,Green,Mobile,paidsearch-retail,,,,0,0,0,0,0,0
8/23/2020,633.3920826,1297.57,2208,9866,1281,0,11985,2051,2.1,General,Accessories,Hooded Sweatshirt,Other,M,Blue,Desktop,other,,,,0,0,0,0,0,0
8/23/2020,1,3.3,1560,7734,362,320.3891853,5919,1306,2.5,General,Women's Clothing,Men's Jacket,Email,XXL,Blue,Desktop,affiliates,,,,0,0,0,0,0,0
8/23/2020,1,2.46,2128,1293,1,0,10372,1869,2.7,General,Outerwear,Hooded Sweatshirt,Social Media,M,Yellow,Desktop,paidsocial-retargeting,,,,0,0,0,0,0,0
8/23/2020,652.0278957,1170.54,2492,22175,1138,0,10007,2482,1.9,General,Outerwear,Hooded Sweatshirt,Paid Search,XXL,Green,Tablet,paidsearch-retailpmax,,,,0,0,0,0,0,0
8/23/2020,1,2.5,2043,34914,1,143.7313073,8858,1680,2.3,General,Outerwear,Women's Boots,Video,XL,White,Tablet,video-prospecting,,,,1,1,503,1310,1,1207
8/23/2020,1085.549517,3332.93,1640,52698,723,0,5623,1349,2.3,General,Men's Clothing,Denim Jeans,Social Media,L,White,Tablet,paidsocial-prospecting,,,,0,0,0,0,0,0
8/23/2020,1,2.69,1349,110089,230,213.2089513,3547,1333,1.9,General,Accessories,Men's Jacket,Paid Search,XL,Blue,Desktop,paidsearch-local,,,,0,0,0,0,0,0
8/23/2020,1,1.78,2460,0,1,0,12419,2251,1.9,General,Accessories,Denim Jeans,Video,XL,Black,Mobile,video-prospecting,,,,576.2318896,21195,1,55,186,460
